,Unnamed: 0imdb_id,budget,imdb_idimdb_id,revenue,Unnamed: 0imdbID,Actors,Country,Director,Genre,IMDB Rating,IMDB Votes,Language,Production,Rated,Released,Runtime,Title,Year,imdb_idimdbID
475,475,95000000,tt0814255,226497209,475.0,"Robert De Niro, Ben Stiller, Owen Wilson, Dustin Hoffman",USA,Paul Weitz,"Comedy, Romance",5.5,"91,899","English, Ukrainian",Universal Pictures,PG-13,22-Dec-10,98 min,Little Fockers,2010.0,tt0970866
476,476,100000000,tt0970866,310650585,476.0,"Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson",USA,"Albert Hughes, Allen Hughes","Action, Adventure, Drama",6.9,"247,230",English,Warner Bros. Pictures,R,15-Jan-10,118 min,The Book of Eli,2010.0,tt1037705
477,477,80000000,tt1037705,157107755,477.0,"Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin",USA,"Ethan Coen, Joel Coen","Adventure, Drama, Western",7.6,"260,746",English,Paramount Pictures,PG-13,22-Dec-10,110 min,True Grit,2010.0,tt1403865
478,478,38000000,tt1403865,252276927,478.0,"Chris Brown, Hayden Christensen, Matt Dillon, Michael Ealy",USA,John Luessenhop,"Action, Crime, Thriller",6.2,"49,906",English,Sony Pictures/Screen Gems,PG-13,27-Aug-10,107 min,Takers,2010.0,tt1135084
479,479,32000000,tt1135084,69055695,479.0,"Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman",USA,Derek Cianfrance,"Drama, Romance",7.4,"154,845",English,Weinstein Company,R,28-Jan-11,112 min,Blue Valentine,2010.0,tt1120985
480,480,3500000,tt1120985,16566240,480.0,"Carey Mulligan, Andrew Garfield, Izzy Meikle-Small, Charlie Rowe","UK, USA",Mark Romanek,"Drama, Romance, Sci-Fi",7.2,"119,579",English,Fox Searchlight Pictures,R,15-Oct-10,103 min,Never Let Me Go,2010.0,tt1334260
481,481,15000000,tt1334260,9455232,481.0,"Helen Mirren, Tom Wilkinson, Ciar??n Hinds, Romi Aboulafia","USA, UK, Hungary, Israel",John Madden,"Drama, Thriller",6.9,"58,165","English, German, Russian",Focus Features,R,31-Aug-11,113 min,The Debt,2010.0,tt1226753
482,482,20000000,tt1226753,45636368,482.0,"Richard Stratton, Harry Kerrigan, Michael Douglas, Carey Mulligan",USA,Oliver Stone,Drama,6.2,"88,908",English,20th Century Fox,PG-13,24-Sep-10,133 min,Wall Street: Money Never Sleeps,2010.0,tt1027718
483,483,70000000,tt1027718,134748021,483.0,"Rachel McAdams, Noah Bean, Jack Davidson, Vanessa Aspillaga",USA,Roger Michell,"Comedy, Drama, Romance",6.5,"62,763","English, Ukrainian",Paramount Studios,PG-13,10-Nov-10,107 min,Morning Glory,2010.0,tt1126618
484,484,40000000,tt1126618,58785180,484.0,"Nicholas D'Agosto, Emma Bell, Miles Fisher, Ellen Wroe","USA, Canada, Singapore, Hong Kong",Steven Quale,"Horror, Thriller",5.9,"90,084","English, Cantonese",Warner Bros.,R,12-Aug-11,92 min,Final Destination 5,2011.0,tt1622979
485,485,47000000,tt1622979,157887643,485.0,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard",USA,Jonathan Levine,"Comedy, Drama, Romance",7.7,"285,840",English,Summit Entertainment,R,30-Sep-11,100 min,50/50,2011.0,tt1306980
486,486,8000000,tt1306980,39187783,486.0,"Alex Pettyfer, Timothy Olyphant, Teresa Palmer, Dianna Agron",USA,D.J. Caruso,"Action, Adventure, Sci-Fi",6.1,"206,141","English, French",DreamWorks Studios,PG-13,18-Feb-11,109 min,I Am Number Four,2011.0,tt1464540
487,487,50000000,tt1464540,144492830,487.0,"Lucy Hale, Roger Jackson, Shenae Grimes-Beech, Dane Farwell",USA,Wes Craven,"Horror, Mystery",6.2,"111,044",English,The Weinstein Company/Dimension,R,15-Apr-11,111 min,Scream 4,2011.0,tt1262416
488,488,40000000,tt1262416,97138686,488.0,"Jean Dujardin, B??r??nice Bejo, John Goodman, James Cromwell","France, USA, Belgium",Michel Hazanavicius,"Comedy, Drama, Romance",7.9,"202,963","English, English, French",The Weinstein Company,PG-13,20-Jan-12,100 min,The Artist,2011.0,tt1655442
489,489,15000000,tt1655442,133432856,489.0,"Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost","USA, New Zealand",Steven Spielberg,"Animation, Action, Adventure",7.4,"188,290",English,Paramount,PG,21-Dec-11,107 min,The Adventures of Tintin,2011.0,tt0983193
490,490,130000000,tt0983193,371940071,490.0,"Ben Stiller, Eddie Murphy, Casey Affleck, Alan Alda",USA,Brett Ratner,"Action, Comedy, Crime",6.2,"116,717","English, Spanish, Chinese",Universal Pictures,PG-13,4-Nov-11,104 min,Tower Heist,2011.0,tt0471042
491,491,75000000,tt0471042,152930623,491.0,"Nicolas Cage, Nicole Kidman, Ben Mendelsohn, Liana Liberato","USA, Bulgaria",Joel Schumacher,"Crime, Thriller",5.3,"36,844",English,Millennium Entertainment,R,21-Oct-11,91 min,Trespass,2011.0,tt1674784
492,492,36000000,tt1674784,9612469,492.0,"Justin Timberlake, Mila Kunis, Patricia Clarkson, Jenna Elfman",USA,Will Gluck,"Comedy, Romance",6.6,"293,851",English,Sony/Screen Gems,R,22-Jul-11,109 min,Friends with Benefits,2011.0,tt1632708
493,493,35000000,tt1632708,150483765,493.0,"William Mapother, Brit Marling, Matthew-Lee Erlbach, DJ Flava",USA,Mike Cahill,"Drama, Romance, Sci-Fi",7.0,"79,436",English,Fox Searchlight,PG-13,12-Oct-11,92 min,Another Earth,2011.0,tt1549572
494,494,100000,tt1549572,1776935,494.0,"Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer","USA, India, United Arab Emirates",Tate Taylor,Drama,8.1,"353,254",English,DreamWorks Studios,PG-13,10-Aug-11,146 min,The Help,2011.0,tt1454029
495,495,25000000,tt1454029,124272124,495.0,"Cameron Diaz, Lucy Punch, Jason Segel, Justin Timberlake",USA,Jake Kasdan,Comedy,5.7,"170,488",English,Sony Pictures,R,24-Jun-11,92 min,Bad Teacher,2011.0,tt1284575
496,496,20000000,tt1284575,216197492,496.0,"Jason Statham, Paddy Considine, Aidan Gillen, Zawe Ashton","UK, France, USA",Elliott Lester,"Action, Crime, Thriller",6.2,"72,913",English,Lionsgate,R,20-May-11,97 min,Blitz,2011.0,tt1297919
497,497,15774948,tt1297919,741875,497.0,"Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman",USA,Jennifer Yuh Nelson,"Animation, Action, Adventure",7.3,"204,119",English,Paramount Studios/Dreamworks,PG,26-May-11,90 min,Kung Fu Panda 2,2011.0,tt1302011
498,498,150000000,tt1302011,665692281,498.0,"Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone",USA,"Glenn Ficarra, John Requa","Comedy, Drama, Romance",7.4,"406,470",English,Warner Bros. Pictures,PG-13,29-Jul-11,118 min,"Crazy, Stupid, Love.",2011.0,tt1570728
499,499,50000000,tt1570728,142851197,499.0,"Saoirse Ronan, Eric Bana, Vicky Krieps, Cate Blanchett","USA, UK, Germany",Joe Wright,"Action, Drama, Thriller",6.8,"166,787","English, French, German, Italian, Arabic, Spanish",Focus Features,PG-13,8-Apr-11,111 min,Hanna,2011.0,tt0993842
500,500,30000000,tt0993842,63782078,500.0,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano","USA, China",Rian Johnson,"Action, Crime, Drama",7.4,"462,525","English, French",Sony Pictures,R,28-Sep-12,113 min,Looper,2012.0,tt1276104
501,501,30000000,tt1276104,47042000,501.0,"Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame",USA,Nima Nourizadeh,Comedy,6.7,"167,301",English,Warner Bros. Pictures,R,2-Mar-12,88 min,Project X,2012.0,tt1636826
502,502,12000000,tt1636826,100000000,502.0,"Chris Pine, Alec Baldwin, Jude Law, Isla Fisher",USA,Peter Ramsey,"Animation, Adventure, Family",7.3,"133,655","English, French",Paramount Studios,PG,21-Nov-12,97 min,Rise of the Guardians,2012.0,tt1446192
503,503,145000000,tt1446192,306941670,503.0,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe",USA,Andrew Stanton,"Action, Adventure, Sci-Fi",6.6,"225,260",English,Walt Disney Pictures,PG-13,9-Mar-12,132 min,John Carter,2012.0,tt0401729
504,504,260000000,tt0401729,284139100,504.0,"Jason Bateman, Hope Davis, Frank Grillo, Michael Nyqvist",USA,Henry Alex Rubin,"Drama, Thriller",7.6,"66,206",English,LD Entertainment,R,5-Jul-13,115 min,Disconnect,2012.0,tt1433811
505,505,10000000,tt1433811,3428048,505.0,"Anna Kendrick, Skylar Astin, Ben Platt, Brittany Snow",USA,Jason Moore,"Comedy, Music, Romance",7.2,"233,057",English,Universal Studios,PG-13,5-Oct-12,112 min,Pitch Perfect,2012.0,tt1981677
506,506,17000000,tt1981677,115350426,506.0,"Rachel McAdams, Channing Tatum, Jessica Lange, Sam Neill","USA, France, Australia, UK, Germany, Canada",Michael Sucsy,"Drama, Romance",6.8,"160,339",English,Sony Pictures,PG-13,10-Feb-12,104 min,The Vow,2012.0,tt1606389
507,507,30000000,tt1606389,196114570,507.0,"Matthew McConaughey, Channing Tatum, Olivia Munn, Alex Pettyfer",USA,Steven Soderbergh,"Comedy, Drama",6.1,"115,989",English,Warner Bros. Pictures,R,29-Jun-12,110 min,Magic Mike,2012.0,tt1915581
508,508,7000000,tt1915581,167221571,508.0,"Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick, Casey Affleck",USA,"Chris Butler, Sam Fell","Animation, Adventure, Comedy",7.0,"80,241",English,Focus Features,PG,17-Aug-12,92 min,ParaNorman,2012.0,tt1623288
509,509,60000000,tt1623288,107139399,509.0,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstr?m","Denmark, Sweden",Thomas Vinterberg,Drama,8.3,"203,321","Danish, English, Polish",Magnolia Pictures,R,10-Jan-13,115 min,The Hunt,2012.0,tt2106476
510,510,3800000,tt2106476,16800000,510.0,"Hugh Grant, Martin Freeman, Imelda Staunton, David Tennant","UK, USA","Peter Lord, Jeff Newitt(co-director)","Animation, Adventure, Comedy",6.7,"38,894",English,Sony Pictures,PG,27-Apr-12,88 min,The Pirates! Band of Misfits,2012.0,tt1430626
511,511,60000000,tt1430626,118338361,511.0,"Bruce Willis, Edward Norton, Bill Murray, Frances McDormand",USA,Wes Anderson,"Adventure, Comedy, Drama",7.8,"262,687",English,Focus Features,PG-13,29-Jun-12,94 min,Moonrise Kingdom,2012.0,tt1748122
512,512,16000000,tt1748122,68263166,512.0,"Kirsten Dunst, Rebel Wilson, Lizzy Caplan, Paul Corning",USA,Leslye Headland,"Comedy, Romance",5.3,"39,903",English,Radius-TWC,R,6-Sep-12,87 min,Bachelorette,2012.0,tt1920849
513,513,3000000,tt1920849,11947954,513.0,"Jim Sturgess, Kirsten Dunst, Timothy Spall, Blu Mankuma","Canada, France",Juan Solanas,"Drama, Fantasy, Romance",6.4,"62,447",English,Millenium Entertainment,PG-13,1-May-13,109 min,Upside Down,2012.0,tt1374992
514,514,60000000,tt1374992,8106475,514.0,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams",USA,Sam Raimi,"Adventure, Family, Fantasy",6.3,"183,986",English,Walt Disney Pictures,PG,8-Mar-13,130 min,Oz the Great and Powerful,2013.0,tt1623205
515,515,200000000,tt1623205,491868548,515.0,"Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi",USA,Guillermo del Toro,"Action, Adventure, Sci-Fi",7.0,"409,028","English, Japanese, Cantonese, Mandarin",Warner Bros. Pictures,PG-13,12-Jul-13,131 min,Pacific Rim,2013.0,tt1663662
516,516,180000000,tt1663662,407602906,516.0,"Matthew Goode, Lauren Julien-Box, Natasha Williams, Alan McKenna",UK,Amma Asante,"Biography, Drama, Romance",7.4,"23,224",English,Fox Searchlight,PG,13-Jun-14,100 min,Belle,2013.0,tt2404181
517,517,10900000,tt2404181,16505460,517.0,"Sylvester Stallone, Sung Kang, Sarah Shahi, Adewale Akinnuoye-Agbaje",USA,Walter Hill,"Action, Thriller",5.7,"41,735",English,Warner Bros. Pictures,R,1-Feb-13,92 min,Bullet to the Head,2012.0,tt1308729
518,518,55000000,tt1308729,9489829,518.0,"Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor, Stanley Tucci",USA,Bryan Singer,"Adventure, Fantasy",6.3,"114,022",English,Warner Bros.,PG-13,1-Mar-13,114 min,Jack the Giant Slayer,2013.0,tt1351685
519,519,195000000,tt1351685,197687603,519.0,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead",USA,John Moore,"Action, Thriller",5.3,"175,974","English, Russian, Hindi",20th Century Fox,R,14-Feb-13,98 min,A Good Day to Die Hard,2013.0,tt1606378
520,520,92000000,tt1606378,304654182,520.0,"Aaron Taylor-Johnson, Chlo? Grace Moretz, Morris Chestnut, Claudia Lee","USA, UK, Japan",Jeff Wadlow,"Action, Comedy, Crime",6.6,"220,666",English,Universal Pictures,R,16-Aug-13,103 min,Kick-Ass 2,2013.0,tt1650554
521,521,28000000,tt1650554,60700000,521.0,"Brit Marling, Alexander Skarsg?rd, Ellen Page, Toby Kebbell","UK, USA",Zal Batmanglij,"Adventure, Drama, Thriller",6.8,"44,464","English, American Sign Language",Fox Searchlight Pictures,PG-13,28-Jun-13,116 min,The East,2013.0,tt1869716
522,522,6500000,tt1869716,2401510,522.0,"Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson",USA,Gore Verbinski,"Action, Adventure, Western",6.5,"195,720","English, North American Indian",Walt Disney Pictures,PG-13,3-Jul-13,150 min,The Lone Ranger,2013.0,tt1210819
523,523,255000000,tt1210819,89289910,523.0,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",USA,Todd Phillips,"Comedy, Crime",5.9,"246,378","English, Spanish",Warner Bros. Pictures,R,23-May-13,100 min,The Hangover Part III,2013.0,tt1951261
524,524,103000000,tt1951261,362000072,524.0,"Nicholas Hoult, Teresa Palmer, Analeigh Tipton, Rob Corddry","USA, Canada",Jonathan Levine,"Comedy, Horror, Romance",6.9,"196,845",English,Lionsgate Films,PG-13,1-Feb-13,98 min,Warm Bodies,2013.0,tt1588173
525,525,35000000,tt1588173,116980662,525.0,"Julianne Moore, Chlo? Grace Moretz, Gabriella Wilde, Portia Doubleday",USA,Kimberly Peirce,"Drama, Horror",5.9,"116,644",English,Sony Pictures,R,18-Oct-13,100 min,Carrie,2013.0,tt1939659
526,526,30000000,tt1939659,82394288,526.0,"Karen Gillan, Brenton Thwaites, Katee Sackhoff, Rory Cochrane",USA,Mike Flanagan,"Horror, Mystery",6.5,"96,552",English,Relativity Media,R,11-Apr-14,104 min,Oculus,2013.0,tt2388715
527,527,5000000,tt2388715,44030246,527.0,"Asa Butterfield, Harrison Ford, Hailee Steinfeld, Abigail Breslin",USA,Gavin Hood,"Action, Fantasy, Sci-Fi",6.7,"198,553",English,Summit Entertainment,PG-13,1-Nov-13,114 min,Ender's Game,2013.0,tt1731141
528,528,110000000,tt1731141,125537191,528.0,"Cate Blanchett, Joy Carlin, Richard Conti, Glen Caspillo",USA,Woody Allen,Drama,7.3,"165,351",English,Sony Pictures Classics,PG-13,23-Aug-13,98 min,Blue Jasmine,2013.0,tt2334873
529,529,18000000,tt2334873,99206215,529.0,"Ryan Gosling, Craig Van Hook, Eva Mendes, Olga Merediz",USA,Derek Cianfrance,"Crime, Drama, Thriller",7.3,"205,531","English, Spanish",Focus Features,R,19-Apr-13,140 min,The Place Beyond the Pines,2012.0,tt1817273
530,530,15000000,tt1817273,35485608,530.0,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody","USA, Germany",Wes Anderson,"Adventure, Comedy, Drama",8.1,"551,670","English, French, German",Fox Searchlight,R,28-Mar-14,99 min,The Grand Budapest Hotel,2014.0,tt2278388
531,531,30000000,tt2278388,174600318,531.0,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",USA,"Anthony Russo, Joe Russo","Action, Adventure, Sci-Fi",7.8,"562,419","English, French",Walt Disney Pictures,PG-13,4-Apr-14,136 min,Captain America: The Winter Soldier,2014.0,tt1843866
532,532,170000000,tt1843866,714766572,532.0,"Oscar Isaac, Elyes Gabel, Jessica Chastain, Lorna Pruce","USA, United Arab Emirates",J.C. Chandor,"Crime, Drama, Thriller",7.0,"52,918","English, Spanish",A24,R,30-Jan-15,125 min,A Most Violent Year,2014.0,tt2937898
533,533,20000000,tt2937898,12007070,533.0,"Tim Downie, Madeleine Worrall, Lottie Steer, Geoffrey Palmer","UK, France",Paul King,"Animation, Adventure, Comedy",7.2,"56,614",English,The Weinstein Company,PG,16-Jan-15,95 min,Paddington,2014.0,tt1109624
534,534,55000000,tt1109624,259207227,534.0,"Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez","France, USA",James DeMonaco,"Action, Horror, Sci-Fi",6.5,"110,831",English,Universal Pictures,R,18-Jul-14,103 min,The Purge: Anarchy,2014.0,tt2975578
535,535,9000000,tt2975578,108782847,535.0,"James Franco, Seth Rogen, Lizzy Caplan, Randall Park",USA,"Evan Goldberg, Seth Rogen",Comedy,6.6,"267,857","English, Korean",Sony Pictures,R,24-Dec-14,112 min,The Interview,2014.0,tt2788710
536,536,44000000,tt2788710,12342632,536.0,"Nicolas Cage, Chad Michael Murray, Cassi Thomson, Nicky Whelan","USA, Canada",Vic Armstrong,"Action, Drama, Fantasy",3.1,"28,200",English,Freestyle Releasing,PG-13,3-Oct-14,110 min,Left Behind,2014.0,tt2467046
537,537,16000000,tt2467046,19682924,537.0,"Chlo? Grace Moretz, Mireille Enos, Jamie Blackley, Joshua Leonard",USA,R.J. Cutler,"Drama, Fantasy, Music",6.8,"96,133",English,Warner Bros. Pictures,PG-13,22-Aug-14,107 min,If I Stay,2014.0,tt1355630
538,538,11000000,tt1355630,78874843,538.0,"Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery","UK, France, USA, Canada",Jaume Collet-Serra,"Action, Mystery, Thriller",7.0,"216,881","English, German",Universal Pictures,PG-13,28-Feb-14,106 min,Non-Stop,2014.0,tt2024469
539,539,50000000,tt2024469,222809600,539.0,"Russell Crowe, Jennifer Connelly, Ray Winstone, Anthony Hopkins",USA,Darren Aronofsky,"Action, Adventure, Drama",5.8,"214,330",English,Paramount Pictures,PG-13,28-Mar-14,138 min,Noah,2014.0,tt1959490
540,540,125000000,tt1959490,362637473,540.0,"Nicole Kidman, Colin Firth, Mark Strong, Ben Crompton","UK, USA, France, Sweden",Rowan Joffe,"Drama, Mystery, Thriller",6.3,"56,772",English,Clarius Entertainment,R,31-Oct-14,92 min,Before I Go to Sleep,2014.0,tt1726592
541,541,22000000,tt1726592,15447154,541.0,"Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell",USA,"Phil Lord, Christopher Miller","Action, Comedy, Crime",7.1,"289,281",English,Sony Pictures,R,13-Jun-14,112 min,22 Jump Street,2014.0,tt2294449
542,542,50000000,tt2294449,188441614,542.0,"Seth Rogen, Rose Byrne, Elise Vargas, Zoey Vargas",USA,Nicholas Stoller,Comedy,6.3,"244,504",English,Universal Pictures,R,9-May-14,97 min,Neighbors,2014.0,tt2004420
543,543,18000000,tt2004420,268157400,543.0,"Will Arnett, Elizabeth Banks, Craig Berry, Alison Brie","Australia, USA, Denmark","Phil Lord, Christopher Miller","Animation, Action, Adventure",7.8,"276,206",English,Warner Bros. Pictures,PG,7-Feb-14,100 min,The Lego Movie,2014.0,tt1490017
544,544,60000000,tt1490017,469160692,544.0,"Jake Johnson, Damon Wayans Jr., Rob Riggle, Nina Dobrev",USA,Luke Greenfield,"Comedy, Crime",6.5,"115,178","English, Spanish",20th Century Fox,R,13-Aug-14,104 min,Let's Be Cops,2014.0,tt1924435
545,545,17000000,tt1924435,136621271,545.0,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen","USA, France",McG,"Action, Drama, Thriller",6.2,"75,268","English, French, German, Serbian",Relativity Media,PG-13,21-Feb-14,117 min,3 Days to Kill,2014.0,tt2172934
546,546,28000000,tt2172934,52597999,546.0,"Annabelle Wallis, Ward Horton, Tony Amendola, Alfre Woodard",USA,"John R. Leonetti, James Wan","Horror, Mystery, Thriller",5.4,"101,042",English,New Line Cinema,R,3-Oct-14,99 min,Annabelle,2014.0,tt3322940
547,547,6500000,tt3322940,255273813,547.0,"Adam Sandler, Drew Barrymore, Kevin Nealon, Terry Crews",USA,Frank Coraci,"Comedy, Romance",6.5,"96,718",English,Warner Bros. Pictures,PG-13,23-May-14,117 min,Blended,2014.0,tt1086772
548,548,40000000,tt1086772,123494610,548.0,"Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson","USA, Australia, Spain",Ron Howard,"Action, Adventure, Biography",6.9,"94,895",English,Warner Bros. Pictures,PG-13,11-Dec-15,122 min,In the Heart of the Sea,2015.0,tt1390411
549,549,100000000,tt1390411,93820758,549.0,"Miles Teller, Michael B. Jordan, Kate Mara, Jamie Bell","USA, Germany",Josh Trank,"Action, Adventure, Sci-Fi",4.3,"126,628",English,20th Century Fox,PG-13,7-Aug-15,100 min,Fantastic Four,2015.0,tt1502712
550,550,120000000,tt1502712,167977596,550.0,"Kevin James, Raini Rodriguez, Neal McDonough, Daniella Alonso",USA,Andy Fickman,"Action, Comedy, Crime",4.4,"27,392",English,Sony Pictures,PG,17-Apr-15,94 min,Paul Blart: Mall Cop 2,2015.0,tt3450650
551,551,38000000,tt3450650,107597242,551.0,"Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman","USA, Australia, China",Joel Edgerton,"Drama, Mystery, Thriller",7.1,"104,530",English,STX Entertainment,R,7-Aug-15,108 min,The Gift,2015.0,tt4178092
552,552,5000000,tt4178092,58978653,552.0,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns","USA, Chile",Eli Roth,"Drama, Horror, Thriller",4.9,"57,846","English, Spanish",Lionsgate Premiere,R,9-Oct-15,99 min,Knock Knock,2015.0,tt3605418
553,553,2500000,tt3605418,6341684,553.0,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki","USA, UK",Guy Ritchie,"Action, Adventure, Comedy",7.3,"213,019","English, Russian, German, Italian",Warner Bros. Pictures,PG-13,14-Aug-15,116 min,The Man from U.N.C.L.E.,2015.0,tt1638355
554,554,75000000,tt1638355,108145109,554.0,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",USA,Ryan Coogler,"Drama, Sport",7.6,"183,731","English, Spanish",Warner Bros.,PG-13,25-Nov-15,133 min,Creed,2015.0,tt3076658
555,555,37000000,tt3076658,173567581,555.0,"Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church",USA,Sean Anders,"Comedy, Family",6.1,"73,154",English,Paramount Pictures,PG-13,25-Dec-15,96 min,Daddy's Home,2015.0,tt1528854
556,556,50000000,tt1528854,242786137,556.0,"Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins",USA,"John Francis Daley, Jonathan Goldstein","Adventure, Comedy",6.1,"77,982",English,Warner Bros. Pictures,R,29-Jul-15,99 min,Vacation,2015.0,tt1524930
557,557,31000000,tt1524930,104384188,557.0,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld, Brittany Snow",USA,Elizabeth Banks,"Comedy, Music",6.4,"112,931","English, German",Universal Pictures,PG-13,15-May-15,115 min,Pitch Perfect 2,2015.0,tt2848292
558,558,29000000,tt2848292,287506194,558.0,"Jeff Bridges, Mackenzie Foy, Rachel McAdams, Marion Cotillard",France,Mark Osborne,"Animation, Adventure, Drama",7.8,"41,870","English, French",Netflix,PG,5-Aug-16,108 min,The Little Prince,2015.0,tt1754656
559,559,64000000,tt1754656,97571250,559.0,"Ryan Gosling, Rudy Eisenzopf, Casey Groves, Charlie Talbert",USA,Adam McKay,"Biography, Comedy, Drama",7.8,"262,085",English,Paramount Pictures,R,23-Dec-15,130 min,The Big Short,2015.0,tt1596363
560,560,28000000,tt1596363,133346506,560.0,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr.",USA,F. Gary Gray,"Biography, Drama, History",7.9,"148,023",English,Universal Pictures,R,14-Aug-15,147 min,Straight Outta Compton,2015.0,tt1398426
561,561,28000000,tt1398426,201634991,561.0,"Amy Poehler, Tina Fey, Maya Rudolph, Ike Barinholtz",USA,Jason Moore,Comedy,6.0,"52,506",English,Universal Pictures,R,18-Dec-15,118 min,Sisters,2015.0,tt1850457
562,562,30000000,tt1850457,105011053,562.0,"Sean Penn, Jasmine Trinca, Javier Bardem, Ray Winstone","USA, Spain, UK, France",Pierre Morel,"Action, Crime, Drama",5.8,"32,669","English, Spanish",Open Road Films,R,20-Mar-15,115 min,The Gunman,2015.0,tt2515034
563,563,40000000,tt2515034,13644292,563.0,"Sam Rockwell, Rosemarie DeWitt, Saxon Sharbino, Kyle Catlett",USA,Gil Kenan,"Horror, Thriller",4.9,"47,562",English,20th Century Fox,PG-13,22-May-15,93 min,Poltergeist,2015.0,tt1029360
564,564,35000000,tt1029360,95437994,564.0,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie",USA,M. Night Shyamalan,"Horror, Thriller",6.2,"87,123",English,Universal Pictures,PG-13,11-Sep-15,94 min,The Visit,2015.0,tt3567288
565,565,5000000,tt3567288,98450062,565.0,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee","USA, Australia",Rob Letterman,"Adventure, Comedy, Family",6.3,"60,497",English,Sony Pictures,PG,16-Oct-15,103 min,Goosebumps,2015.0,tt1051904
566,566,58000000,tt1051904,158162788,566.0,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson",USA,Tom Ford,"Crime, Drama, Romance",7.5,"153,836",English,Focus Features,R,9-Dec-16,116 min,Nocturnal Animals,2016.0,tt4550098
567,567,22500000,tt4550098,29252978,567.0,"Mark Wahlberg, Dicky Eklund Jr., Michael Marchand, Rhet Kidd","Hong Kong, USA",Peter Berg,"Crime, Drama, History",7.4,"53,956","English, Chinese, Arabic",CBS Films,R,13-Jan-17,133 min,Patriots Day,2016.0,tt4572514
568,568,45000000,tt4572514,50548152,568.0,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria","USA, France",James DeMonaco,"Action, Horror, Sci-Fi",6.0,"61,352",English,Universal Pictures,R,1-Jul-16,108 min,The Purge: Election Year,2016.0,tt4094724
569,569,10000000,tt4094724,118587880,569.0,"Matthew McConaughey, Edgar Ram??rez, Bryce Dallas Howard, Corey Stoll",USA,Stephen Gaghan,"Adventure, Drama, Thriller",6.7,"33,174","English, Indonesian",,R,27-Jan-17,120 min,Gold,2016.0,tt1800302
570,570,20000000,tt1800302,7227038,570.0,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana","USA, Hong Kong, China",Justin Lin,"Action, Adventure, Sci-Fi",7.1,"180,287",English,Paramount Pictures,PG-13,22-Jul-16,122 min,Star Trek: Beyond,2016.0,tt2660888
571,571,185000000,tt2660888,343471816,571.0,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau","USA, China, Hong Kong, Australia, Canada",Yimou Zhang,"Action, Adventure, Fantasy",6.0,"83,548","English, Mandarin, Spanish",Universal Pictures,PG-13,17-Feb-17,103 min,The Great Wall,2016.0,tt2034800
572,572,150000000,tt2034800,331957105,572.0,"Casey Affleck, Ben O'Brien, Kyle Chandler, Richard Donelly",USA,Kenneth Lonergan,Drama,7.9,"164,395",English,Amazon Studios,R,16-Dec-16,137 min,Manchester by the Sea,2016.0,tt4034228
